STA,Lat,Long
25375,-6.22156907,106.5744908
25380,-6.2215649,106.5744458
25385,-6.221560721,106.5744009
25390,-6.221556541,106.5743559
25395,-6.221552353,106.5743109
25400,-6.221548155,106.5742659
25405,-6.221543949,106.5742209
25410,-6.221539733,106.5741759
25415,-6.221535527,106.5741309
25420,-6.22153132,106.574086
25425,-6.221527105,106.574041
25430,-6.221522916,106.573996
25435,-6.221518719,106.573951
25440,-6.221514503,106.573906
25445,-6.22151026,106.573861
25450,-6.221506027,106.573816
25455,-6.221501811,106.5737711
25460,-6.221497605,106.5737261
25465,-6.221493416,106.5736811
25470,-6.221489237,106.5736361
25475,-6.221485057,106.5735911
25480,-6.221480905,106.5735461
25485,-6.221476744,106.5735011
25490,-6.221472591,106.5734561
25495,-6.221468439,106.5734112
25500,-6.221464287,106.5733662
25505,-6.221460143,106.5733212
25510,-6.221456009,106.5732762
25515,-6.221451848,106.5732312
25520,-6.221447677,106.5731862
25525,-6.221443507,106.5731412
25530,-6.221439346,106.5730962
25535,-6.221435175,106.5730512
25540,-6.221431041,106.5730062
25545,-6.221426925,106.5729613
25550,-6.221422809,106.5729163
25555,-6.221418747,106.5728713
25560,-6.221414676,106.5728263
25565,-6.221410605,106.5727813
25570,-6.221406534,106.5727363
25575,-6.221402454,106.5726913
25580,-6.22139832,106.5726463
25585,-6.221394185,106.5726013
25590,-6.221390051,106.5725563
25595,-6.221385908,106.5725113
25600,-6.221381773,106.5724663
25605,-6.221377576,106.5724213
25610,-6.221373378,106.5723763
25615,-6.221369117,106.5723314
25620,-6.221364802,106.5722864
25625,-6.221360487,106.5722414
25630,-6.221356235,106.5721964
25635,-6.221351983,106.5721514
25640,-6.221347731,106.5721065
25645,-6.221343479,106.5720615
25650,-6.221339227,106.5720165
25655,-6.221334939,106.5719715
25660,-6.221330642,106.5719265
25665,-6.221326354,106.5718816
25670,-6.221322057,106.5718366
25675,-6.221317759,106.5717916
25680,-6.221313444,106.5717466
25685,-6.22130912,106.5717017
25690,-6.221304814,106.5716567
25695,-6.221300525,106.5716117
25700,-6.221296237,106.5715667
